Month,Shein,Thrift,Search_Type
2010-05,0,0,Shopping
2010-06,0,0,Shopping
2010-07,0,0,Shopping
2010-08,0,0,Shopping
2010-09,0,0,Shopping
2010-10,0,0,Shopping
2010-11,0,0,Shopping
2010-12,0,0,Shopping
2011-01,0,0,Shopping
2011-02,0,0,Shopping
2011-03,0,0,Shopping
2011-04,0,57,Shopping
2011-05,0,0,Shopping
2011-06,0,0,Shopping
2011-07,0,0,Shopping
2011-08,0,0,Shopping
2011-09,0,0,Shopping
2011-10,0,27,Shopping
2011-11,0,27,Shopping
2011-12,0,27,Shopping
2012-01,0,38,Shopping
2012-02,0,20,Shopping
2012-03,0,35,Shopping
2012-04,0,42,Shopping
2012-05,0,29,Shopping
2012-06,0,26,Shopping
2012-07,0,46,Shopping
2012-08,0,34,Shopping
2012-09,0,46,Shopping
2012-10,0,42,Shopping
2012-11,0,35,Shopping
2012-12,0,27,Shopping
2013-01,0,44,Shopping
2013-02,0,54,Shopping
2013-03,0,55,Shopping
2013-04,0,0,Shopping
2013-05,0,0,Shopping
2013-06,0,0,Shopping
2013-07,0,0,Shopping
2013-08,0,0,Shopping
2013-09,0,0,Shopping
2013-10,0,0,Shopping
2013-11,0,0,Shopping
2013-12,0,0,Shopping
2014-01,0,0,Shopping
2014-02,0,0,Shopping
2014-03,0,0,Shopping
2014-04,0,0,Shopping
2014-05,0,0,Shopping
2014-06,0,33,Shopping
2014-07,0,0,Shopping
2014-08,0,0,Shopping
2014-09,0,0,Shopping
2014-10,0,0,Shopping
2014-11,0,36,Shopping
2014-12,0,47,Shopping
2015-01,0,0,Shopping
2015-02,0,0,Shopping
2015-03,0,0,Shopping
2015-04,0,0,Shopping
2015-05,0,0,Shopping
2015-06,0,0,Shopping
2015-07,0,0,Shopping
2015-08,0,0,Shopping
2015-09,0,0,Shopping
2015-10,0,0,Shopping
2015-11,0,25,Shopping
2015-12,0,26,Shopping
2016-01,0,20,Shopping
2016-02,0,24,Shopping
2016-03,0,31,Shopping
2016-04,0,17,Shopping
2016-05,0,16,Shopping
2016-06,0,22,Shopping
2016-07,0,19,Shopping
2016-08,0,15,Shopping
2016-09,0,21,Shopping
2016-10,0,29,Shopping
2016-11,0,20,Shopping
2016-12,0,22,Shopping
2017-01,0,23,Shopping
2017-02,0,34,Shopping
2017-03,0,28,Shopping
2017-04,0,22,Shopping
2017-05,0,19,Shopping
2017-06,0,19,Shopping
2017-07,0,11,Shopping
2017-08,0,19,Shopping
2017-09,0,25,Shopping
2017-10,0,33,Shopping
2017-11,0,28,Shopping
2017-12,0,28,Shopping
2018-01,0,36,Shopping
2018-02,0,33,Shopping
2018-03,0,26,Shopping
2018-04,0,37,Shopping
2018-05,0,30,Shopping
2018-06,0,17,Shopping
2018-07,0,16,Shopping
2018-08,0,26,Shopping
2018-09,0,30,Shopping
2018-10,0,31,Shopping
2018-11,0,39,Shopping
2018-12,0,31,Shopping
2019-01,0,39,Shopping
2019-02,0,35,Shopping
2019-03,0,31,Shopping
2019-04,0,32,Shopping
2019-05,0,42,Shopping
2019-06,0,30,Shopping
2019-07,0,25,Shopping
2019-08,0,31,Shopping
2019-09,0,25,Shopping
2019-10,0,49,Shopping
2019-11,0,38,Shopping
2019-12,0,36,Shopping
2020-01,0,34,Shopping
2020-02,0,38,Shopping
2020-03,0,39,Shopping
2020-04,0,28,Shopping
2020-05,0,28,Shopping
2020-06,0,29,Shopping
2020-07,0,27,Shopping
2020-08,0,30,Shopping
2020-09,0,45,Shopping
2020-10,0,67,Shopping
2020-11,0,93,Shopping
2020-12,0,100,Shopping
2021-01,0,90,Shopping
2021-02,0,83,Shopping
2021-03,0,75,Shopping
2021-04,0,56,Shopping
2021-05,0,63,Shopping
2021-06,0,53,Shopping
2021-07,5,51,Shopping
2021-08,11,73,Shopping
2021-09,16,95,Shopping
2021-10,14,98,Shopping
2021-11,14,97,Shopping
2021-12,16,93,Shopping
2022-01,16,91,Shopping
2022-02,19,83,Shopping
2022-03,21,69,Shopping
2022-04,21,65,Shopping
2022-05,17,59,Shopping
2022-06,19,47,Shopping
2022-07,25,42,Shopping
2022-08,26,57,Shopping
2022-09,24,61,Shopping
2022-10,26,65,Shopping
2022-11,30,74,Shopping
2022-12,34,68,Shopping
2023-01,30,69,Shopping
2023-02,35,67,Shopping
2023-03,35,63,Shopping
2023-04,34,52,Shopping
2023-05,30,50,Shopping
2023-06,39,48,Shopping
2023-07,44,44,Shopping
2023-08,38,47,Shopping
2023-09,40,53,Shopping
2023-10,42,60,Shopping
2023-11,37,67,Shopping
2023-12,21,52,Shopping
2024-01,18,49,Shopping
2024-02,21,42,Shopping
2024-03,25,48,Shopping
2024-04,35,64,Shopping
2024-05,31,54,Shopping
2024-06,25,48,Shopping
2024-07,28,52,Shopping
2024-08,24,50,Shopping
2024-09,25,59,Shopping
2024-10,20,65,Shopping
2024-11,0,0,Shopping
2024-12,0,0,Shopping
2025-01,0,0,Shopping
2025-02,0,0,Shopping
2025-03,0,0,Shopping
2025-04,0,18,Shopping
2008-01,0,0,Youtube
2008-02,0,0,Youtube
2008-03,0,0,Youtube
2008-04,0,0,Youtube
2008-05,0,0,Youtube
2008-06,0,0,Youtube
2008-07,0,0,Youtube
2008-08,0,0,Youtube
2008-09,0,0,Youtube
2008-10,0,0,Youtube
2008-11,0,0,Youtube
2008-12,0,0,Youtube
2009-01,0,0,Youtube
2009-02,0,0,Youtube
2009-03,0,0,Youtube
2009-04,0,0,Youtube
2009-05,0,0,Youtube
2009-06,0,4,Youtube
2009-07,0,0,Youtube
2009-08,0,0,Youtube
2009-09,3,5,Youtube
2009-10,0,0,Youtube
2009-11,0,0,Youtube
2009-12,0,0,Youtube
2010-01,0,0,Youtube
2010-02,0,0,Youtube
2010-03,0,0,Youtube
2010-04,0,0,Youtube
2010-05,0,0,Youtube
2010-06,0,0,Youtube
2010-07,0,0,Youtube
2010-08,0,0,Youtube
2010-09,0,0,Youtube
2010-10,0,0,Youtube
2010-11,0,0,Youtube
2010-12,0,0,Youtube
2011-01,0,0,Youtube
2011-02,0,0,Youtube
2011-03,0,0,Youtube
2011-04,0,0,Youtube
2011-05,0,0,Youtube
2011-06,0,0,Youtube
2011-07,0,0,Youtube
2011-08,0,0,Youtube
2011-09,0,2,Youtube
2011-10,0,2,Youtube
2011-11,0,0,Youtube
2011-12,0,0,Youtube
2012-01,0,0,Youtube
2012-02,0,0,Youtube
2012-03,0,0,Youtube
2012-04,0,0,Youtube
2012-05,0,0,Youtube
2012-06,0,0,Youtube
2012-07,0,0,Youtube
2012-08,0,0,Youtube
2012-09,0,0,Youtube
2012-10,0,0,Youtube
2012-11,0,0,Youtube
2012-12,0,0,Youtube
2013-01,0,0,Youtube
2013-02,0,3,Youtube
2013-03,0,3,Youtube
2013-04,0,0,Youtube
2013-05,0,0,Youtube
2013-06,0,0,Youtube
2013-07,0,0,Youtube
2013-08,0,0,Youtube
2013-09,0,4,Youtube
2013-10,0,0,Youtube
2013-11,0,0,Youtube
2013-12,0,0,Youtube
2014-01,0,4,Youtube
2014-02,0,0,Youtube
2014-03,0,0,Youtube
2014-04,0,0,Youtube
2014-05,0,0,Youtube
2014-06,0,0,Youtube
2014-07,0,4,Youtube
2014-08,0,0,Youtube
2014-09,0,0,Youtube
2014-10,0,0,Youtube
2014-11,0,0,Youtube
2014-12,0,0,Youtube
2015-01,0,0,Youtube
2015-02,0,0,Youtube
2015-03,0,0,Youtube
2015-04,0,0,Youtube
2015-05,0,0,Youtube
2015-06,0,0,Youtube
2015-07,0,0,Youtube
2015-08,0,0,Youtube
2015-09,0,0,Youtube
2015-10,0,0,Youtube
2015-11,0,0,Youtube
2015-12,0,0,Youtube
2016-01,0,0,Youtube
2016-02,0,0,Youtube
2016-03,0,0,Youtube
2016-04,0,0,Youtube
2016-05,0,0,Youtube
2016-06,0,0,Youtube
2016-07,0,0,Youtube
2016-08,0,0,Youtube
2016-09,0,0,Youtube
2016-10,0,0,Youtube
2016-11,0,0,Youtube
2016-12,0,0,Youtube
2017-01,0,0,Youtube
2017-02,0,0,Youtube
2017-03,0,0,Youtube
2017-04,0,0,Youtube
2017-05,0,0,Youtube
2017-06,0,0,Youtube
2017-07,0,0,Youtube
2017-08,0,14,Youtube
2017-09,0,15,Youtube
2017-10,0,16,Youtube
2017-11,0,13,Youtube
2017-12,0,13,Youtube
2018-01,0,16,Youtube
2018-02,0,16,Youtube
2018-03,0,17,Youtube
2018-04,0,13,Youtube
2018-05,0,12,Youtube
2018-06,0,9,Youtube
2018-07,0,12,Youtube
2018-08,0,14,Youtube
2018-09,0,17,Youtube
2018-10,0,22,Youtube
2018-11,0,20,Youtube
2018-12,0,20,Youtube
2019-01,0,24,Youtube
2019-02,0,26,Youtube
2019-03,0,26,Youtube
2019-04,0,24,Youtube
2019-05,0,22,Youtube
2019-06,0,14,Youtube
2019-07,0,16,Youtube
2019-08,0,20,Youtube
2019-09,0,22,Youtube
2019-10,0,25,Youtube
2019-11,0,22,Youtube
2019-12,0,22,Youtube
