Month,Boohoo,Charity Shop,Search_Type
2008-04,0,0,News
2008-05,0,0,News
2008-06,0,0,News
2008-07,0,0,News
2008-08,0,0,News
2008-09,0,0,News
2008-10,0,0,News
2008-11,0,0,News
2008-12,0,0,News
2009-01,0,0,News
2009-02,0,0,News
2009-03,0,0,News
2009-04,0,0,News
2009-05,0,4,News
2009-06,0,0,News
2009-07,0,0,News
2009-08,0,0,News
2009-09,0,0,News
2009-10,0,0,News
2009-11,0,0,News
2009-12,0,0,News
2010-01,0,0,News
2010-02,0,0,News
2010-03,0,0,News
2010-04,0,0,News
2010-05,0,0,News
2010-06,0,0,News
2010-07,0,0,News
2010-08,0,0,News
2010-09,0,0,News
2010-10,0,0,News
2010-11,0,0,News
2010-12,0,0,News
2011-01,0,0,News
2011-02,0,0,News
2011-03,0,0,News
2011-04,0,0,News
2011-05,0,0,News
2011-06,0,0,News
2011-07,7,0,News
2011-08,0,0,News
2011-09,0,0,News
2011-10,0,0,News
2011-11,0,0,News
2011-12,0,0,News
2012-01,0,0,News
2012-02,0,0,News
2012-03,0,0,News
2012-04,0,0,News
2012-05,0,0,News
2012-06,0,0,News
2012-07,0,0,News
2012-08,0,0,News
2012-09,0,0,News
2012-10,0,0,News
2012-11,0,0,News
2012-12,0,0,News
2013-01,0,0,News
2013-02,0,0,News
2013-03,4,0,News
2013-04,0,0,News
2013-05,0,0,News
2013-06,0,0,News
2013-07,4,0,News
2013-08,3,0,News
2013-09,3,0,News
2013-10,0,0,News
2013-11,4,0,News
2013-12,0,0,News
2014-01,5,0,News
2014-02,0,0,News
2014-03,9,0,News
2014-04,6,0,News
2014-05,0,0,News
2014-06,5,0,News
2014-07,5,0,News
2014-08,4,0,News
2014-09,5,0,News
2014-10,5,0,News
2014-11,5,0,News
2014-12,5,0,News
2015-01,4,0,News
2015-02,0,0,News
2015-03,0,0,News
2015-04,0,0,News
2015-05,0,0,News
2015-06,6,0,News
2015-07,4,0,News
2015-08,5,0,News
2015-09,0,0,News
2015-10,0,0,News
2015-11,6,0,News
2015-12,4,0,News
2016-01,0,0,News
2016-02,8,0,News
2016-03,4,0,News
2016-04,6,0,News
2016-05,0,0,News
2016-06,4,0,News
2016-07,0,0,News
2016-08,0,0,News
2016-09,6,0,News
2016-10,7,0,News
2016-11,6,0,News
2016-12,9,0,News
2017-01,7,0,News
2017-02,9,0,News
2017-03,9,0,News
2017-04,8,0,News
2017-05,10,0,News
2017-06,10,0,News
2017-07,10,0,News
2017-08,8,0,News
2017-09,17,7,News
2017-10,9,0,News
2017-11,9,0,News
2017-12,12,0,News
2018-01,10,0,News
2018-02,7,0,News
2018-03,10,0,News
2018-04,14,0,News
2018-05,15,0,News
2018-06,12,0,News
2018-07,0,0,News
