Month,Shein,Flohmarkt,Search_Type
2012-06,0,0,News
2012-07,0,34,News
2012-08,0,0,News
2012-09,0,38,News
2012-10,0,42,News
2012-11,0,20,News
2012-12,0,0,News
2013-01,0,0,News
2013-02,0,26,News
2013-03,0,18,News
2013-04,0,48,News
2013-05,0,36,News
2013-06,0,36,News
2013-07,0,32,News
2013-08,0,53,News
2013-09,0,55,News
2013-10,0,57,News
2013-11,0,31,News
2013-12,0,16,News
2014-01,0,36,News
2014-02,0,20,News
2014-03,0,39,News
2014-04,0,51,News
2014-05,0,41,News
2014-06,0,42,News
2014-07,0,34,News
2014-08,0,41,News
2014-09,0,49,News
2014-10,0,23,News
2014-11,0,31,News
2014-12,0,0,News
2015-01,0,0,News
2015-02,0,0,News
2015-03,0,33,News
2015-04,0,41,News
2015-05,0,44,News
2015-06,0,38,News
2015-07,0,25,News
2015-08,0,33,News
2015-09,0,35,News
2015-10,0,29,News
2015-11,0,21,News
2015-12,0,16,News
2016-01,0,19,News
2016-02,0,30,News
2016-03,0,30,News
2016-04,0,37,News
2016-05,0,34,News
2016-06,0,27,News
2016-07,0,26,News
2016-08,0,17,News
2016-09,0,44,News
2016-10,0,30,News
2016-11,0,20,News
2016-12,0,0,News
2017-01,0,17,News
2017-02,0,25,News
2017-03,0,35,News
2017-04,0,38,News
2017-05,0,47,News
2017-06,0,34,News
2017-07,0,49,News
2017-08,0,24,News
2017-09,0,37,News
2017-10,0,45,News
2017-11,0,33,News
2017-12,0,23,News
2018-01,0,26,News
2018-02,0,0,News
2018-03,0,44,News
2018-04,0,52,News
2018-05,0,53,News
2018-06,0,36,News
2018-07,0,43,News
2018-08,0,43,News
2018-09,0,50,News
2018-10,0,46,News
2018-11,0,28,News
2018-12,0,24,News
2019-01,0,0,News
2019-02,0,34,News
2019-03,0,47,News
2019-04,0,26,News
2019-05,0,35,News
2019-06,0,50,News
2019-07,0,41,News
2019-08,0,42,News
2019-09,0,36,News
2019-10,0,37,News
2019-11,0,29,News
2019-12,0,28,News
2020-01,0,0,News
2020-02,0,0,News
2020-03,0,19,News
2020-04,0,0,News
2020-05,0,27,News
2020-06,0,46,News
2020-07,0,48,News
2020-08,0,19,News
2020-09,0,32,News
2020-10,0,35,News
2020-11,0,18,News
2020-12,0,0,News
2021-01,21,0,News
2021-02,0,0,News
2021-03,12,0,News
2021-04,30,0,News
2021-05,37,44,News
2021-06,27,60,News
2021-07,34,44,News
2021-08,24,52,News
2021-09,31,44,News
2021-10,35,50,News
2021-11,19,19,News
2021-12,22,0,News
2022-01,21,29,News
2022-02,0,21,News
2022-03,18,39,News
2022-04,24,52,News
2022-05,39,56,News
2022-06,40,57,News
2022-07,37,60,News
2022-08,27,64,News
2022-09,30,59,News
2022-10,19,36,News
2022-11,0,21,News
2022-12,31,29,News
2023-01,31,31,News
2023-02,26,36,News
2023-03,29,47,News
2023-04,29,63,News
2023-05,30,100,News
2023-06,0,88,News
2023-07,29,43,News
2023-08,26,58,News
2023-09,28,88,News
2023-10,26,58,News
2023-11,45,25,News
2023-12,30,27,News
2024-01,24,26,News
2024-02,29,0,News
2024-03,0,48,News
2024-04,47,57,News
2024-05,29,74,News
2024-06,27,41,News
2024-07,0,56,News
2024-08,26,55,News
2024-09,23,56,News
2024-10,23,31,News
2024-11,20,18,News
2024-12,20,16,News
2025-01,21,14,News
2025-02,48,26,News
2025-03,18,40,News
2025-04,8,29,News
2008-01,0,0,Shopping
2008-02,0,0,Shopping
2008-03,0,0,Shopping
2008-04,0,0,Shopping
2008-05,0,0,Shopping
2008-06,0,0,Shopping
2008-07,0,0,Shopping
2008-08,0,0,Shopping
2008-09,0,0,Shopping
2008-10,0,0,Shopping
2008-11,0,0,Shopping
2008-12,0,0,Shopping
2009-01,0,0,Shopping
2009-02,0,0,Shopping
2009-03,0,0,Shopping
2009-04,0,0,Shopping
2009-05,0,0,Shopping
2009-06,0,0,Shopping
2009-07,0,0,Shopping
2009-08,0,0,Shopping
2009-09,0,0,Shopping
2009-10,0,0,Shopping
2009-11,0,0,Shopping
2009-12,0,0,Shopping
2010-01,0,0,Shopping
2010-02,0,0,Shopping
2010-03,0,0,Shopping
2010-04,0,0,Shopping
2010-05,0,0,Shopping
2010-06,0,0,Shopping
2010-07,0,0,Shopping
2010-08,0,0,Shopping
2010-09,0,0,Shopping
2010-10,0,0,Shopping
2010-11,0,0,Shopping
2010-12,0,0,Shopping
2011-01,0,0,Shopping
2011-02,0,0,Shopping
2011-03,0,0,Shopping
2011-04,0,0,Shopping
2011-05,0,0,Shopping
2011-06,0,0,Shopping
2011-07,0,0,Shopping
2011-08,0,0,Shopping
2011-09,0,0,Shopping
2011-10,0,0,Shopping
2011-11,0,0,Shopping
2011-12,0,0,Shopping
2012-01,0,0,Shopping
2012-02,0,0,Shopping
2012-03,0,0,Shopping
2012-04,0,0,Shopping
2012-05,5,0,Shopping
2012-06,0,0,Shopping
2012-07,0,0,Shopping
2012-08,0,0,Shopping
2012-09,0,5,Shopping
2012-10,0,0,Shopping
2012-11,0,0,Shopping
2012-12,0,0,Shopping
2013-01,0,0,Shopping
2013-02,0,0,Shopping
2013-03,0,0,Shopping
2013-04,0,0,Shopping
2013-05,0,0,Shopping
2013-06,0,0,Shopping
2013-07,0,0,Shopping
2013-08,0,14,Shopping
2013-09,0,0,Shopping
2013-10,0,0,Shopping
2013-11,0,0,Shopping
2013-12,0,0,Shopping
2014-01,0,9,Shopping
2014-02,0,8,Shopping
2014-03,0,11,Shopping
2014-04,0,9,Shopping
2014-05,0,12,Shopping
2014-06,0,10,Shopping
2014-07,0,9,Shopping
2014-08,0,16,Shopping
2014-09,0,8,Shopping
2014-10,0,12,Shopping
2014-11,0,8,Shopping
2014-12,0,0,Shopping
2015-01,0,6,Shopping
2015-02,0,7,Shopping
2015-03,0,6,Shopping
2015-04,0,8,Shopping
2015-05,0,13,Shopping
2015-06,0,7,Shopping
2015-07,0,7,Shopping
2015-08,0,12,Shopping
2015-09,0,12,Shopping
2015-10,0,9,Shopping
2015-11,0,7,Shopping
2015-12,0,3,Shopping
2016-01,0,6,Shopping
2016-02,0,6,Shopping
2016-03,0,7,Shopping
2016-04,0,9,Shopping
2016-05,0,7,Shopping
2016-06,0,6,Shopping
2016-07,0,11,Shopping
2016-08,3,8,Shopping
2016-09,3,7,Shopping
2016-10,5,9,Shopping
2016-11,7,5,Shopping
2016-12,3,3,Shopping
2017-01,5,4,Shopping
2017-02,6,4,Shopping
2017-03,7,8,Shopping
2017-04,7,8,Shopping
2017-05,6,9,Shopping
2017-06,6,8,Shopping
2017-07,6,7,Shopping
2017-08,10,8,Shopping
2017-09,11,9,Shopping
2017-10,10,8,Shopping
2017-11,10,5,Shopping
2017-12,8,3,Shopping
2018-01,9,4,Shopping
2018-02,14,5,Shopping
2018-03,12,5,Shopping
2018-04,10,8,Shopping
2018-05,9,8,Shopping
2018-06,14,7,Shopping
2018-07,11,6,Shopping
2018-08,12,8,Shopping
2018-09,15,7,Shopping
2018-10,13,10,Shopping
2018-11,17,5,Shopping
